utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.video [MHz], power.draw [W]
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.09
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.09
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.19
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.18
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.18
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.18
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.18
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.09
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.18
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.00
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
0, 0, 25, 324, 324, 324, 405, 29.99
0, 0, 25, 324, 324, 324, 405, 30.08
